Service/Page Category,Competitor or Source Name,URL,Market/Location,Page Type,Wording/Vocabulary Notes,CTA Notes,Trust Signal Notes,Layout/UX Notes,Pricing/Offer Notes if public,Compliance/Safety Notes,What Dive Factor Can Do Better,Date Reviewed
Underwater boat/dock services,under water inspection,https://www.watermenmarinesolutions.com/service-page/under-water-inspection,Not clearly stated,Service page,Top-page wording unavailable,Direct CTA not obvious from top page copy,Trust signal light or generic,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,Boat Dock Repair and Maintenance Services | Rigged Diving and Marine,https://www.riggedmarine.com/boat-dock-repair-and-maintenance,Not clearly stated,Service page,"Professional boat dock repair and maintenance services including underwater dock repairs, marina dock maintenance, structural inspections, and waterfront repair support.",Direct CTA not obvious from top page copy,Team/expert framing,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,Home - Premier Diving Services LLC,https://premierdivingservices.com/,Not clearly stated,Service page,"Welcome to Premier Diving Services, LLC. We are a full-service commercial diving and marine construction company servicing many clients all over the United States.",Direct CTA not obvious from top page copy,Trust signal light or generic,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,"Dockside Diving, Inc.",https://docksidediving.com/,Not clearly stated,Service page,Give us a call for anything that requires a submarine solution!,Call CTA,Trust signal light or generic,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,Terracon Diving Services for Underwater Materials Inspections,https://www.terracon.com/service/materials/diving-services,Not clearly stated,Service page,Terracon employs certified commercial divers and engineers to perform underwater material inspections and other diving related services.,Direct CTA not obvious from top page copy,Certification language,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,"Standard Diving Marine Contracting/Commercial Diving/Charleston, SC",https://www.standarddivingandmarinecontracting.com/,Charleston,Service page,"Based in North Charleston, SC, Standard Diving &amp; Marine Contracting has been providing commercial diving services, marine contracting, and underwater inspections in the southeastern United States and beyond for 30 years.",Direct CTA not obvious from top page copy,Experience/tenure signal,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,O'Ryan Marine Boating Services - Diving Services,https://www.oryanmarine.com/diving.php,Not clearly stated,Service page,"O'Ryan Marine Boating Services - Diving Services | Fall is Here. Schedule your Winterization and Storage Today! | Now Hiring Boat Technician Mechanic - Call 425-485-2871. | Seattle Diving, Recovery & Underwater Repair Services | Boating Products & Supplies | Other Services | Need Equipment? | Testimonials | What do you need?",Call CTA; Book/schedule CTA,Trust signal light or generic,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,Underwater Inspection Services &#8211; MIDCO Diving &amp; Marine Services,https://midcodiving.com/underwater-inspection-services,Not clearly stated,Article / guide,Underwater Inspection Services &#8211; MIDCO Diving &amp; Marine Services | Blog | Underwater Inspection Services | We provide turnkey commercial diving services for unique industrial and municipal needs,Direct CTA not obvious from top page copy,Trust signal light or generic,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,Dive Services &#8211; Captain John&#039;s Dive and Marine Services,https://captainjohnsdiveandmarineservices.com/services,Not clearly stated,Service page,"Not sure what you need or what it costs? We&#039;re here to help! Here are a list of the dive services we provide. Call today for a free estimate! Underwater Survey Bulkhead inspection; propeller entanglements; line or netting around shaft; damaged hull; Our divers will do an underwater inspection, and provide photos and video. https://www.facebook.com/watch/?v=470577963580373&amp;external_log_id=843d21b5624e90dbf448a2d5fe5459a8&amp;q=captain%20john%27s%20dive%20and%20salvage&hellip;",Call CTA,Documentation proof,Visual proof,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
Underwater boat/dock services,Underwater Surveys &amp; Inspections | Subsea Global Solutions,https://www.subseaglobalsolutions.com/services/underwater-surveys-inspections,Not clearly stated,Service page,"Underwater Surveys &amp; Inspections | Subsea Global Solutions | Underwater Surveys &amp; Inspections | Subsea Global Solutions provides a full range of inspection services from Class In-Water Surveys to Damage Inspections to Biofouling Inspections to Inland/Coastal Infrastructure Inspections. | UWILD &amp; Class IWS | Have an underwater maintenance or repair service request? | Inspection Services Include: | Overhauling demountable thrusters, commercial diving solutions, offshore semi-sub drillship | Offshore Asset Maintenance, biofouling and repositioning support | Got heavy biofouling? You need a PORTABLE C-ROV!",Request/quote CTA,Trust signal light or generic,Standard service-page structure,No public pricing surfaced in reviewed top-page content,No major compliance marker in top-page content,"Use sharper before/after problem framing, stronger local-lake positioning, and cleaner visual proof than generic diver-service pages.",2026-06-16
