rank,market,business_name,category,website,source_url,verification_status,duplicate_flag,priority_tier,why_it_ranks,notes
1,hartwell,Portman Marina,marina,https://www.portmanmarina.com/,https://www.portmanmarina.com/,Verified,None,Tier 1,Large direct marina target with strong slip and boating activity,Broadest Hartwell partner value
2,keowee,Keowee Marina,marina,https://www.keoweemarina.com/,https://www.keoweemarina.com/,Verified,None,Tier 1,Large direct full-service marina in premium market,Strong Hartwell/Keowee launch counterpart
3,hartwell,Big Water Marina,marina,https://www.bigwatermarina.com/,https://www.bigwatermarina.com/,Verified,None,Tier 1,Direct marina with rentals fuel slips and campground traffic,High boating visibility
4,keowee,Sunset Marina,marina,https://www.sunsetonkeowee.com/,https://www.sunsetonkeowee.com/,Verified,None,Tier 1,Direct public marina target in premium Keowee market,Strong B2B and referral potential
5,hartwell,Clemson Marina,marina,https://clemsonmarina.com/,https://clemsonmarina.com/,Verified,None,Tier 1,Direct Hartwell marina with rentals storage service and club activity,Added during audit from official site
6,hartwell,Sun Life Hartwell Marina,marina,https://sunlifehartwell.com/,https://sunlifehartwell.com/,Verified,None,Tier 1,Direct marina with wet slips storage rentals and waterfront amenities,Strong partner and homeowner referral fit
7,hartwell,Harbor Light Marina,marina,https://harborlightmarina.net/,https://harborlightmarina.net/,Verified,None,Tier 1,Direct marina with rentals and slip activity,Border-location reach
8,murray,Putnam's Harbor,marina,https://putnamsharbor.com/,https://putnamsharbor.com/,Verified,None,Tier 2,Direct marina in strong expansion lake,High later-market value
9,murray,Timberlake Marina,marina,https://timberlakemarina.com/,https://timberlakemarina.com/,Verified,None,Tier 2,Direct marina with rental activity,Good expansion-market fit
10,murray,Better Boating,rental_fleet,https://www.betterboatrental.com/,https://www.betterboatrental.com/,Verified,None,Tier 2,Direct rental fleet target,Recurring inspection-plan potential
11,keowee,Keowee Marina Boat Rentals,rental_fleet,https://www.keoweemarina.com/boat-rentals/,https://www.keoweemarina.com/boat-rentals/,Needs Verification,Same org as Keowee Marina,Tier 2,Useful recurring-fleet angle within a verified marina parent,Do not treat as separate top-level account without cleanup
12,clarks_hill_thurmond,Savannah Lakes Marina,marina,https://www.slmarina.com/,https://www.slmarina.com/,Verified,None,Tier 2,Direct marina with slips and rentals,Strong expansion-market partner target
13,clarks_hill_thurmond,Clarks Hill Marina,marina,https://clarkshillmarina.com/boat-rentals,https://clarkshillmarina.com/boat-rentals,Verified,None,Tier 2,Direct rental-led marina,Expansion-market operator target
14,clarks_hill_thurmond,Soap Creek Marina,boat_club,https://soapcreekmarina.com/rentals/,https://soapcreekmarina.com/rentals/,Verified,None,Tier 2,Rentals and club activity support recurring-visibility need,May deserve marina classification cleanup later
15,keowee,Keowee luxury waterfront referral lane,broker,https://wesellkeowee.com/inside-lake-keowee-waterfront-luxury-homes/,https://wesellkeowee.com/inside-lake-keowee-waterfront-luxury-homes/,Weak Lead,None,Tier 3,Useful premium-market signal but not yet a strong direct target,Needs broker-specific business verification
16,hartwell,Carefree Boat Club Lake Hartwell,boat_club,https://carefreeboats.com/lake-hartwell-marina-guide/,https://carefreeboats.com/lake-hartwell-marina-guide/,Needs Verification,None,Tier 3,Relevant club audience and lake presence,Current source is an indirect marina guide page
17,clarks_hill_thurmond,Freedom Boat Club Lake Clarks Hill,boat_club,https://www.freedomboatclub.com/franchises/marina-boat-club-llc/lake-clarks-hill,https://www.freedomboatclub.com/franchises/marina-boat-club-llc/lake-clarks-hill,Needs Verification,None,Tier 3,Boat-club model could fit recurring fleet checks,Automated check returned 403 and page should be human-verified
18,murray,Lake Murray Boat Rentals,rental_fleet,https://lakemurrayboatrentals.com/book-now/,https://lakemurrayboatrentals.com/book-now/,Needs Verification,None,Tier 3,Relevant rental target for Murray expansion,Uses booking page rather than stronger company profile
19,coastal_sc,Dataw Island Marina,marina,https://datawmarina.com/,https://datawmarina.com/,Verified,None,Tier 3,Direct coastal marina with working-boatyard context,Coastal service packaging still held for review
20,coastal_ga,Jekyll Harbor Marina,marina,https://jekyllharbor.com/,https://jekyllharbor.com/,Verified,None,Tier 3,Direct coastal marina target,Interesting but lower immediate proximity and higher complexity
21,coastal_ga,Brunswick Landing Marina,marina,https://brunswicklandingmarina.com/services/,https://brunswicklandingmarina.com/services/,Verified,None,Tier 3,Direct coastal marina with technical-service context,Compliance-sensitive environment
22,coastal_sc,Beaufort Downtown Marina,marina,https://saltwaterfishing.sc.gov/coastalmarinas.html,https://saltwaterfishing.sc.gov/coastalmarinas.html/,Needs Verification,None,Tier 3,State-list presence suggests real target,Needs direct operator site before use as cleaned lead
23,coastal_sc,South Carolina Clean Marina list,marina,https://sccm.scseagrant.org/find-a-clean-marina/,https://sccm.scseagrant.org/find-a-clean-marina/,Weak Lead,None,Tier 4,Good source pool for future target extraction,Not a direct business target
24,coastal_ga,Georgia Clean Marina Program,marina,https://coastalgadnr.org/CleanMarina,https://coastalgadnr.org/CleanMarina,Weak Lead,None,Tier 4,Useful program source for future target extraction,Not a direct business target
25,keowee,Visit Oconee boating event channel,real_estate,https://visitoconeesc.com/events/keowee-marinas-in-water-boat-show-5/,https://visitoconeesc.com/events/keowee-marinas-in-water-boat-show-5/,Weak Lead,None,Tier 4,Useful ecosystem signal around boating demand,Not a direct B2B target business
